2.3836875000,2.2530000000,2.2237500000,2.1960000000,2.1423750000,2.0985000000,2.0863125000,2.1146250000,2.0838750000,2.0855625000,2.0786250000,2.1155625000,2.0793750000,2.0218125000,2.0287500000,2.2785000000,2.1826875000,2.1348750000,2.1176250000,2.1189375000,2.0461875000,2.0116875000,2.3141250000
2.3834659091,2.2553522727,2.2257272727,2.1978750000,2.1442159091,2.0995397727,2.0875738636,2.1147613636,2.0842840909,2.0861761364,2.0790170455,2.1166022727,2.0797159091,2.0222386364,2.0307784091,2.2843977273,2.1830965909,2.1361022727,2.1177102273,2.1214090909,2.0466818182,2.0121818182,2.3093522727
2.3832443182,2.2592386364,2.2294090909,2.2013352273,2.1471477273,2.1014659091,2.0901306818,2.1156647727,2.0849659091,2.0867897727,2.0800056818,2.1175056818,2.0803636364,2.0231079545,2.0344602273,2.2955113636,2.1852784091,2.1399034091,2.1205227273,2.1254147727,2.0484886364,2.0144318182,2.3083806818
2.3836534091,2.2646761364,2.2344375000,2.2060738636,2.1515625000,2.1041590909,2.0938977273,2.1172670455,2.0862102273,2.0879829545,2.0816420455,2.1189545455,2.0816420455,2.0245227273,2.0398125000,2.3098636364,2.1907500000,2.1480000000,2.1275625000,2.1303579545,2.0523068182,2.0188465909,2.3090454545
2.3852386364,2.2712386364,2.2410340909,2.2119715909,2.1569488636,2.1079261364,2.0986363636,2.1196875000,2.0885113636,2.0901477273,2.0844034091,2.1213920455,2.0836193182,2.0267556818,2.0467500000,2.3258011364,2.2009602273,2.1609375000,2.1387272727,2.1371761364,2.0583920455,2.0250852273,2.3124204545
2.3882045455,2.2795056818,2.2490965909,2.2193693182,2.1630000000,2.1119488636,2.1047897727,2.1230625000,2.0915965909,2.0931477273,2.0881363636,2.1250568182,2.0866363636,2.0300284091,2.0554772727,2.3470397727,2.2153295455,2.1780340909,2.1527215909,2.1465511364,2.0666420455,2.0337784091,2.3180284091
2.3922272727,2.2888125000,2.2582500000,2.2272102273,2.1700568182,2.1167215909,2.1128522727,2.1270170455,2.0957556818,2.0973920455,2.0926022727,2.1291988636,2.0904545455,2.0341534091,2.0649715909,2.3696420455,2.2325625000,2.1984204545,2.1707897727,2.1572215909,2.0776363636,2.0439034091,2.3255284091
2.3972386364,2.2983068182,2.2672840909,2.2353409091,2.1776931818,2.1224488636,2.1206420455,2.1303750000,2.1004261364,2.1026079545,2.0985000000,2.1343295455,2.0953977273,2.0388238636,2.0762897727,2.3931477273,2.2516704545,2.2202045455,2.1933920455,2.1703125000,2.0916136364,2.0550000000,2.3352784091
2.4035965909,2.3093863636,2.2771022727,2.2444943182,2.1860795455,2.1287045455,2.1285852273,2.1361534091,2.1056590909,2.1088636364,2.1052159091,2.1406534091,2.1008011364,2.0446363636,2.0883920455,2.4179659091,2.2739829545,2.2457045455,2.2187215909,2.1838636364,2.1077897727,2.0678693182,2.3467159091
2.4110454545,2.3212840909,2.2884886364,2.2530852273,2.1942443182,2.1350113636,2.1379602273,2.1422386364,2.1115397727,2.1161761364,2.1126818182,2.1471477273,2.1070397727,2.0511136364,2.1004090909,2.4434659091,2.2991761364,2.2716647727,2.2468465909,2.2001761364,2.1255852273,2.0823579545,2.3597897727
2.4191250000,2.3335909091,2.2995681818,2.2628522727,2.2028522727,2.1421022727,2.1470965909,2.1494147727,2.1180681818,2.1238977273,2.1211363636,2.1540852273,2.1141647727,2.0574715909,2.1136363636,2.4683352273,2.3245227273,2.2987500000,2.2753977273,2.2171363636,2.1431761364,2.0968465909,2.3733409091
